group,nnm,nm
JC,순천JC,순천
터널,서면1터널,서면1
터널,서면2터널,서면2
터널,서면3터널,서면3
터널,서면4터널,서면4
터널,서면5터널,서면5
터널,황전1터널,황전1
터널,황전2터널,황전2
IC,황전IC,황전
휴게소,황전휴게소(순천),황전
터널,황전3터널,황전3
터널,구례1터널,구례1
터널,구례2터널,구례2
IC,구례화엄사IC,구례화엄사
터널,용방1터널,용방1
터널,용방2터널,용방2
터널,천마터널,천마
IC,서남원IC,서남원
JC,남원JC,남원
IC,북남원IC,북남원
터널,사매1터널,사매1
터널,사매2터널,사매2
터널,사매3터널,사매3
터널,사매4터널,사매4
터널,오수1터널,오수1
휴게소,오수휴게소(순천),오수
IC,오수IC,오수
터널,오수2터널,오수2
IC,임실IC,임실
IC,임실IC,임실
터널,관촌1터널,관촌1
터널,관촌1터널,관촌1
터널,관촌2터널,관촌2
터널,관촌2터널,관촌2
휴게소,관촌휴게소(광양),관촌
휴게소,관촌휴게소(광양),관촌
터널,슬치터널,슬치
터널,슬치터널,슬치
터널,용암1터널,용암1
터널,용암1터널,용암1
터널,용암2터널,용암2
터널,용암2터널,용암2
터널,용암3터널,용암3
터널,용암3터널,용암3
터널,용암4터널,용암4
터널,용암4터널,용암4
터널,죽림1터널,죽림1
터널,죽림1터널,죽림1
터널,죽림2터널,죽림2
터널,죽림2터널,죽림2
터널,죽림3터널,죽림3
터널,죽림3터널,죽림3
터널,신리1터널,신리1
터널,신리1터널,신리1
IC,상관IC,상관
터널,신리2터널,신리2
터널,신리3터널,신리3
터널,완산터널,완산
터널,덕진1터널,덕진1
터널,덕진2터널,덕진2
터널,덕진3터널,덕진3
IC,동전주IC,동전주
JC,완주JC,완주
점,순천완주선종점,순천완주선종점
IC,남구리IC,남구리
IC,중랑IC,중랑
IC,남별내IC,남별내
IC,동의정부IC,동의정부
IC,민락IC,민락
IC,소흘IC,소흘
JC,소흘JC,소흘
IC,선단IC,선단
IC,포천IC,포천
